MMSI,time,lat,lon,vel,cou
413804828-0,0.0,20.14941,131.242948,11.929016,264.200269
209351000-0,1.0,20.856393,130.334117,9.517222,168.600006
209351000-0,6.0,20.855972,130.334203,9.517222,168.699997
354209000-0,8.0,21.634175,130.64041,47.33292,257.25445
209351000-0,12.0,20.855465,130.334312,9.517222,168.699997
209351000-0,18.0,20.854958,130.33442,9.517222,168.600006
209351000-0,25.0,20.854368,130.334548,9.517222,168.5
354209000-0,28.0,21.633209,130.635819,49.002915,79.546728
209351000-0,31.0,20.853863,130.33466,9.517222,168.5
209351000-0,36.0,20.85344,130.334753,9.517222,168.399994
209351000-0,43.0,20.852848,130.334882,9.517222,168.5
354209000-0,47.0,21.63399,130.640372,78.498178,245.300621
209351000-0,49.0,20.85234,130.334987,9.517222,168.600006
209351000-0,55.0,20.851833,130.335092,9.517222,168.699997
354209000-0,57.0,21.632474,130.636825,17.729955,356.601841
209351000-0,61.0,20.851325,130.335198,9.517222,168.800003
209351000-0,66.0,20.8509,130.335292,9.517222,168.800003
354209000-0,68.0,21.633374,130.636768,104.732972,260.353344
209351000-0,72.0,20.85039,130.335403,9.517222,168.699997
209351000-0,78.0,20.849882,130.335517,9.517222,168.600006
209351000-0,85.0,20.84929,130.335648,9.568666,168.5
354209000-0,88.0,21.631751,130.626499,92.495562,88.553013
209351000-0,90.0,20.848783,130.335762,9.517222,168.399994
209351000-0,96.0,20.848363,130.335855,9.517222,168.300003
209351000-0,102.0,20.847773,130.335985,9.517222,168.199997
354209000-0,107.0,21.631956,130.635235,97.675094,93.618201
209351000-0,108.0,20.847268,130.336097,9.517222,168.199997
209351000-0,114.0,20.846762,130.336208,9.568666,168.300003
354209000-0,117.0,21.631671,130.640083,147.629038,264.292018
209351000-0,119.0,20.84634,130.336298,9.568666,168.399994
209351000-0,125.0,20.845833,130.336408,9.568666,168.5
354209000-0,128.0,21.630924,130.632048,58.054823,265.134579
209351000-0,131.0,20.845325,130.336513,9.568666,168.699997
209351000-0,138.0,20.844818,130.336622,9.517222,168.699997
209351000-0,145.0,20.844227,130.33675,9.568666,168.699997
354209000-0,148.0,21.630469,130.626295,76.415842,98.09064
209351000-0,151.0,20.843718,130.336858,9.568666,168.600006
209351000-0,156.0,20.843297,130.33695,9.568666,168.5
209351000-0,163.0,20.842707,130.337077,9.568666,168.5
354209000-0,167.0,21.629524,130.633443,204.471645,261.215397
209351000-0,169.0,20.8422,130.337185,9.568666,168.399994
209351000-0,175.0,20.841693,130.337293,9.568666,168.399994
354209000-0,178.0,21.627936,130.62239,290.82041,89.349846
209351000-0,180.0,20.841272,130.337382,9.568666,168.399994
413804828-0,181.0,20.148401,131.232371,0.450602,15.606236
209351000-0,186.0,20.840763,130.337487,9.568666,168.5
354209000-0,188.0,21.628088,130.63685,280.363947,269.49779
209351000-0,192.0,20.840257,130.33759,9.568666,168.600006
209351000-0,198.0,20.839748,130.337692,9.568666,168.800003
354209000-0,198.0,21.627974,130.622909,30.394483,210.801923
209351000-0,205.0,20.839157,130.337813,9.568666,168.800003
354209000-0,209.0,21.626646,130.622058,127.036709,93.373903
209351000-0,210.0,20.838733,130.3379,9.568666,168.800003
209351000-0,216.0,20.838228,130.338005,9.568666,168.699997
209351000-0,223.0,20.837638,130.338128,9.568666,168.600006
354209000-0,227.0,21.626024,130.633409,183.094981,272.428182
209351000-0,229.0,20.837132,130.338233,9.568666,168.600006
209351000-0,235.0,20.836628,130.338335,9.568666,168.5
354209000-0,238.0,21.626418,130.623403,19.706115,225.419003
209351000-0,240.0,20.836208,130.338423,9.517222,168.5
