MMSI,time,lat,lon,vel,cou
251312000-3,0.0,19.980633,130.958543,33.967374,260.762173
251107000-1,1.0,20.134656,131.038238,12.946519,26.915697
251017000-1,26.0,20.048,131.050417,2.006333,13.5
251102000-1,27.0,19.92744,130.864591,5.872043,274.491693
251177110-1,62.0,20.019015,131.114373,36.540821,115.174582
251063000-2,67.0,20.091292,130.899152,7.510494,30.81426
251312000-3,92.0,19.978314,130.943372,18.757251,237.870195
251017000-1,109.0,20.049433,131.0514,2.057778,14.6
251102000-1,110.0,19.927616,130.862202,34.482331,226.264171
251177110-1,132.0,20.013985,131.125761,19.522464,195.430303
251312000-3,165.0,19.974947,130.937668,61.276137,86.419991
251017000-1,172.0,20.0505,131.051967,1.646222,359.799988
251102000-1,173.0,19.920674,130.854485,11.828179,262.368109
251177110-1,198.0,20.008244,131.124075,4.678945,212.677762
251102000-1,248.0,19.920129,130.850162,2.738656,314.958226
251312000-3,248.0,19.976414,130.962634,62.48699,233.316436
251063000-2,251.0,20.096778,130.902637,11.700134,176.858164
251017000-1,258.0,20.0519,131.051233,1.954889,343.100006
251107000-1,260.0,20.148477,131.045711,10.981568,141.160448
251177110-1,273.0,20.006878,131.123143,20.330083,288.602432
251312000-3,319.0,19.964161,130.945136,55.239941,5.519363
251017000-1,328.0,20.053117,131.050167,1.954889,338.600006
251102000-1,331.0,19.920872,130.849371,8.578054,285.157164
251177110-1,352.0,20.009246,131.115655,21.412492,181.702932
251107000-1,355.0,20.144721,131.048933,13.259272,23.077933
251063000-2,357.0,20.091054,130.902971,10.080819,70.413057
251312000-3,398.0,19.98424,130.947201,52.403996,167.451289
251102000-1,408.0,19.92167,130.846236,10.523145,164.640839
251017000-1,414.0,20.0545,131.0491,1.903444,348.799988
251177110-1,427.0,20.001826,131.11542,14.988527,286.445097
251312000-3,473.0,19.966506,130.951401,22.004983,129.472007
251102000-1,484.0,19.918105,130.847278,12.727127,291.692357
251063000-2,485.0,20.093054,130.908955,7.300442,103.060168
251107000-1,505.0,20.153178,131.052772,16.841704,27.708498
251177110-1,507.0,20.003395,131.109763,19.578369,182.42079
251312000-3,549.0,19.961592,130.95775,66.069509,13.720281
251017000-1,559.0,20.05705,131.04805,1.954889,352.200012
251102000-1,561.0,19.919779,130.842801,5.874907,164.084136
251177110-1,574.0,19.997337,131.10949,14.247163,280.3964
251107000-1,585.0,20.158692,131.055856,14.013712,153.894723
251063000-2,607.0,20.092123,130.913225,15.952535,325.187629
251312000-3,623.0,19.983547,130.963453,23.044241,211.507895
251102000-1,624.0,19.918134,130.8433,19.132396,226.933273
251017000-1,631.0,20.058433,131.047583,1.903444,352.799988
251177110-1,660.0,19.998359,131.103562,43.759485,31.364471
251107000-1,674.0,20.153515,131.058559,15.073298,33.191628
251102000-1,698.0,19.913665,130.838215,16.271052,297.708485
251312000-3,702.0,19.976372,130.958774,26.858851,216.234994
251017000-1,717.0,20.05985,131.047183,1.954889,354.100006
251177110-1,720.0,20.008722,131.110284,16.741686,203.917267
251063000-2,721.0,20.099025,130.908115,13.701313,125.516666
251107000-1,762.0,20.158646,131.062134,14.433805,158.390238
251102000-1,766.0,19.916043,130.833399,10.767604,119.865509
251017000-1,783.0,20.061,131.046867,1.903444,354.100006
251177110-1,796.0,20.003346,131.107747,24.687785,185.795496
251102000-1,838.0,19.914259,130.836704,2.536043,116.842744
251063000-2,840.0,20.094646,130.914647,5.288859,41.708284
251312000-3,842.0,19.962352,130.947843,15.052413,5.97773
251107000-1,851.0,20.153125,131.064464,43.235491,10.661269
251017000-1,862.0,20.0624,131.046467,1.903444,353.5
251177110-1,866.0,19.995398,131.106888,34.793399,295.520061
251107000-1,910.0,20.164713,131.066788,36.545636,167.375432
251312000-3,924.0,19.968026,130.948475,58.062515,197.731193
251017000-1,943.0,20.063767,131.046133,1.852,357.100006
251177110-1,947.0,20.00101,131.094377,34.634984,84.17467
251102000-1,964.0,19.913592,130.838106,26.636472,239.786592
251063000-2,983.0,20.097256,130.917124,1.5741,24.536041
251312000-3,993.0,19.950387,130.942475,0.809382,72.623576
251107000-1,995.0,20.150701,131.070131,65.603553,7.348482
251017000-1,1015.0,20.064967,131.045967,1.903444,356.899994
251177110-1,1028.0,20.002326,131.108107,21.440603,338.537395
251102000-1,1047.0,19.908449,130.828713,3.97582,10.208348
251107000-1,1056.0,20.169048,131.072652,45.428464,164.777893
251017000-1,1090.0,20.066167,131.045817,1.903444,356.5
251177110-1,1103.0,20.009244,131.105212,56.638914,215.534466
251107000-1,1120.0,20.15608,131.07641,6.593792,127.652876
251063000-2,1121.0,20.09817,130.917568,20.13977,76.610362
251102000-1,1127.0,19.909896,130.82899,11.154389,72.504535
251017000-1,1152.0,20.067383,131.045583,1.903444,356.0
251312000-3,1157.0,19.95057,130.943098,36.406603,61.813193
251177110-1,1165.0,19.996034,131.095173,23.259046,285.249239
251102000-1,1201.0,19.911043,130.832861,16.918628,238.123615
251107000-1,1209.0,20.154423,131.078698,16.034371,33.372849
251017000-1,1224.0,20.068583,131.045633,1.852,2.8
251063000-2,1238.0,20.100692,130.928851,2.033833,12.980586
251177110-1,1246.0,19.998324,131.086232,9.505218,91.486319
