MMSI,time,lat,lon,vel,cou
413265810-0,0.0,19.763596,131.570823,128.867077,195.245837
412285678-0,12.0,19.664728,131.261266,57.842274,265.834391
413265810-0,30.0,19.746354,131.56583,46.525459,330.608937
412285678-0,43.0,19.664125,131.252488,17.806616,82.45321
412285678-0,72.0,19.664439,131.255001,53.524024,270.753513
412285657-0,93.0,19.76652,131.117036,45.612555,125.617063
412285678-0,102.0,19.664536,131.247119,25.673797,327.600909
413265810-0,120.0,19.763218,131.555736,33.147062,106.436196
412285657-0,123.0,19.762836,131.1225,17.040913,317.54408
412285678-0,133.0,19.667642,131.245026,49.55748,106.697815
413272750-0,141.0,19.796942,131.116237,9.320911,346.986353
412285657-0,153.0,19.76458,131.120805,12.712933,314.949547
412285678-0,163.0,19.665668,131.252016,40.267258,275.924961
412285657-0,183.0,19.765825,131.119479,52.115823,305.837531
412285678-0,193.0,19.666244,131.246118,25.688232,116.409262
413265810-0,210.0,19.759316,131.56979,65.147317,226.34721
412285657-0,213.0,19.770057,131.113253,29.34619,78.033955
412285678-0,223.0,19.66466,131.249506,19.202847,307.219574
413265810-0,240.0,19.753079,131.562845,162.084279,18.722546
413265810-0,270.0,19.774367,131.570512,125.844629,209.083427
412285657-0,273.0,19.771744,131.121714,33.46239,246.712287
413272750-0,276.0,19.802609,131.114845,7.957706,177.636156
412285678-0,283.0,19.667881,131.245002,5.572577,213.835447
413265810-0,300.0,19.759115,131.561498,62.461292,33.67102
412285657-0,303.0,19.769909,131.117185,16.098369,342.323784
412285678-0,313.0,19.667239,131.244545,4.319947,300.777192
413265810-0,330.0,19.766324,131.566601,56.730126,302.91317
412285678-0,343.0,19.667546,131.243998,12.135753,220.244514
413265810-0,360.0,19.770599,131.559583,21.203787,117.976856
412285657-0,363.0,19.774163,131.115744,18.478189,310.929364
412285678-0,373.0,19.666261,131.242844,10.68245,38.267865
413265810-0,390.0,19.769219,131.562343,13.369156,297.087792
412285657-0,393.0,19.775842,131.113687,6.193061,199.34027
412285678-0,403.0,19.667424,131.243818,23.36229,84.71177
412285657-0,424.0,19.775005,131.113375,9.346714,69.046949
412285678-0,433.0,19.667723,131.247244,52.596462,264.247473
413272750-0,452.0,19.79614,131.115129,3.103113,167.697649
412285678-0,463.0,19.666991,131.239537,55.451049,280.333533
412285678-0,493.0,19.668371,131.231504,22.211714,71.918364
412285678-0,523.0,19.669327,131.234613,24.379499,48.113363
413272750-0,537.0,19.794949,131.115405,5.529504,195.525402
412285678-0,553.0,19.671584,131.237286,57.059961,261.356941
413265810-0,570.0,19.774284,131.551818,8.15257,78.751954
412285657-0,573.0,19.777307,131.119763,6.831127,284.078754
412285678-0,583.0,19.670395,131.228978,10.793151,105.390025
412285678-0,613.0,19.669997,131.230511,20.732946,68.420778
412285678-0,643.0,19.671055,131.23335,42.064812,271.036968
412285657-0,663.0,19.777998,131.116834,16.289374,28.47768
412285678-0,673.0,19.67116,131.227156,60.840372,93.90732
412285678-0,703.0,19.670585,131.236095,13.389347,344.148174
413272750-0,717.0,19.790516,131.114096,15.635326,3.8081
412285678-0,733.0,19.672371,131.235557,69.713112,261.642165
412285657-0,753.0,19.783955,131.120268,24.227739,304.481712
412285678-0,764.0,19.670919,131.225061,11.74693,58.488132
412285657-0,783.0,19.785857,131.117325,33.608108,281.568938
412285678-0,794.0,19.67177,131.226535,31.215006,74.704343
412285657-0,813.0,19.786791,131.112472,27.868303,135.328079
