MMSI,time,lat,lon,vel,cou
209216000-0,0.0,20.185999,130.851144,29.909052,268.706513
255806192-1,2.0,20.136438,130.966148,7.459445,316.700012
440371000-0,2.0,20.028817,131.497892,0.0,187.199997
376532000-1,3.0,20.098613,131.533987,26.727091,247.882344
244740273-0,12.0,19.844798,130.877741,19.756257,153.040437
271002541-1,15.0,19.904028,131.579445,5.860093,186.615528
244169000-1,17.0,20.150787,130.796412,12.484892,57.566826
244650976-0,20.0,19.842302,130.845067,2.726556,286.899994
209210000-2,25.0,20.156502,131.209793,5.453111,16.799999
226013770-0,36.0,20.002277,131.069183,15.298954,201.179857
566879000-0,38.0,20.097872,131.51086,9.76575,336.537998
244146000-0,42.0,20.169195,130.732433,7.202222,259.0
248655000-0,44.0,20.153503,130.464998,22.892903,84.703639
253336000-0,44.0,20.187563,131.252687,5.298778,280.299988
236111857-0,48.0,20.085788,131.070071,46.375764,8.134642
352335000-1,48.0,20.156299,130.583374,51.121941,267.674078
205417000-1,48.0,20.093289,131.08784,5.355404,270.777023
209216000-0,53.0,20.185833,130.843339,23.364567,266.213995
431073000-0,54.0,20.739794,130.576685,59.208669,260.879711
255806192-1,55.0,20.139742,130.96118,7.510889,316.5
205482190-0,70.0,19.844795,130.903532,3.598979,331.354328
376532000-1,72.0,20.095403,131.525578,21.751121,102.798313
205205790-1,73.0,19.752886,131.11,9.008923,110.380174
209210000-2,83.0,20.159298,131.211167,5.401667,17.0
205507390-0,88.0,19.859784,130.994825,18.96334,231.899852
244740273-0,88.0,19.838612,130.881087,13.018357,171.386864
440371000-0,90.0,20.028803,131.497877,0.0,187.199997
205414190-0,92.0,20.104709,131.121394,12.207376,121.408194
564469000-0,94.0,20.119793,131.004721,38.642014,165.861071
215481000-1,97.0,20.079508,131.067954,9.386703,243.525771
212935000-0,99.0,20.124047,131.336714,24.604502,283.962271
244650976-0,101.0,19.842717,130.8424,2.675111,280.600006
431073000-0,113.0,20.737233,130.559637,64.394885,121.826488
248730000-1,113.0,20.168908,131.275912,28.903832,127.209006
236111857-0,116.0,20.100219,131.072268,35.283772,162.418594
253336000-0,121.0,20.188295,131.245788,5.350222,278.0
244110352-0,137.0,20.129944,131.4005,14.157338,268.054656
376532000-1,141.0,20.093866,131.532781,7.27107,67.086243
271002541-1,152.0,19.900341,131.578991,10.802479,183.589676
209210000-2,153.0,20.162015,131.212718,5.195889,23.5
244740273-0,156.0,19.834566,130.881738,23.562593,283.873912
209216000-0,162.0,20.185056,130.830824,17.951059,279.93668
566879000-0,164.0,20.10309,131.508448,0.869455,53.012896
564469000-0,167.0,20.107148,131.008113,34.881926,67.035481
205507390-0,169.0,19.855403,130.988885,9.306122,358.387982
431073000-0,170.0,20.728285,130.575051,79.281914,281.2031
352335000-1,171.0,20.155116,130.552437,51.766827,88.731111
248730000-1,172.0,20.16414,131.2826,4.446538,183.288887
205205790-1,179.0,19.751349,131.114397,15.89367,266.617028
226013770-0,179.0,19.992847,131.065295,8.505602,243.281342
236111857-0,180.0,20.090268,131.075625,2.058803,312.043238
244169000-1,187.0,20.156048,130.805233,2.255357,337.340057
209341000-0,193.0,19.949155,131.059178,18.87533,325.253973
311295000-1,193.0,20.116038,129.763128,9.414333,85.900002
636015619-1,203.0,20.132991,129.888301,58.617014,104.564275
440371000-0,204.0,20.028805,131.49788,0.0,187.199997
212935000-0,209.0,20.127065,131.323783,36.701665,277.760786
209210000-2,211.0,20.164488,131.214597,5.195889,25.1
253336000-0,217.0,20.188295,131.239917,5.247334,265.5
564469000-0,219.0,20.110419,131.016334,19.797197,134.051625
215481000-1,223.0,20.077071,131.062744,12.23427,61.082066
205414190-0,230.0,20.100651,131.128471,27.671409,17.176896
244096000-2,230.0,20.207284,130.786715,9.119491,115.514269
255806519-0,231.0,20.016333,131.591283,0.0,23.0
248730000-1,231.0,20.16293,131.282526,10.271812,186.585471
244740273-0,240.0,19.836759,130.872296,11.135799,42.996075
431073000-0,241.0,20.733338,130.547759,21.046649,157.708061
311295000-1,262.0,20.11645,129.771968,9.311444,85.900002
226014010-0,262.0,19.841323,130.862182,21.123114,148.550991
244690991-0,266.0,20.119621,131.36166,4.39083,262.218575
209341000-0,268.0,19.954532,131.05521,19.988205,43.264483
271002541-1,272.0,19.894361,131.578592,17.49469,10.866
440371000-0,275.0,20.028795,131.497853,0.0,187.199997
212935000-0,281.0,20.128714,131.310893,10.793131,292.627021
636015619-1,281.0,20.127675,129.910087,107.072716,198.556228
247039400-0,286.0,20.121974,129.962478,7.121176,298.749001
253336000-0,287.0,20.187772,131.234618,5.195889,253.600006
431073000-0,289.0,20.729018,130.549653,35.62188,164.862885
215481000-1,291.0,20.07893,131.066328,7.456817,163.85545
255806192-1,293.0,20.151203,130.943527,7.665222,316.200012
209210000-2,293.0,20.167972,131.217133,5.247334,24.1
248730000-1,294.0,20.159958,131.282161,8.766036,250.090082
209216000-0,294.0,20.186945,130.819329,8.904011,334.561791
205414190-0,297.0,20.108839,131.131166,26.323032,80.400824
248655000-0,308.0,20.156079,130.494631,23.149015,67.612355
