MMSI,time,lat,lon,vel,cou
209657000-0,0.0,20.250746,132.307878,15.125541,171.680595
636016655-0,55.0,20.634051,132.022805,13.763304,234.06607
209657000-0,169.0,20.239054,132.3097,15.254176,270.701821
273215830-0,188.0,20.003426,130.15529,24.777555,58.603429
636016655-0,189.0,20.629048,132.01543,12.152389,267.123297
353080000-0,209.0,20.239907,132.150121,20.017744,257.243466
273215830-0,312.0,20.010825,130.168192,20.133179,77.624309
353080000-0,422.0,20.235554,132.129633,36.667022,288.186357
636016655-0,657.0,20.627726,131.987374,6.901702,237.530104
209657000-0,668.0,20.239481,132.272201,9.590767,292.816983
273215830-0,683.0,20.018221,130.204086,18.176688,84.769446
353080000-0,837.0,20.257493,132.058401,20.312644,269.749426
636016655-0,846.0,20.624489,131.981939,31.797341,262.603067
636016655-0,904.0,20.623391,131.972906,13.431517,257.008828
636016655-0,1031.0,20.621618,131.964697,14.202739,268.100557
273215830-0,1048.0,20.021014,130.236591,34.739517,89.118145
273215830-0,1086.0,20.021108,130.243084,19.182251,37.836559
246900000-0,1097.0,19.951437,129.574422,3.619747,327.529905
353080000-0,1138.0,20.257367,132.028275,52.187807,181.50681
246900000-0,1150.0,19.952186,129.573915,28.371008,84.115905
636016655-0,1162.0,20.621333,131.955512,21.0321,254.605494
246900000-0,1204.0,19.952911,129.58141,18.842964,77.778876
353080000-0,1204.0,20.241451,132.027829,25.251407,276.335454
209657000-0,1233.0,20.249193,132.247592,28.716617,186.136888
273215830-0,1267.0,20.033783,130.253563,19.475621,90.414363
209657000-0,1297.0,20.240746,132.246624,21.111667,290.596415
636016655-0,1462.0,20.613588,131.925469,5.632177,176.185307
246900000-0,1464.0,19.957704,129.604957,17.48873,78.598996
209657000-0,1476.0,20.24689,132.229195,31.158794,241.628575
636016655-0,1593.0,20.610185,131.925711,17.353999,248.078195
209657000-0,1601.0,20.238334,132.212311,25.849305,296.591785
209657000-0,1665.0,20.241757,132.205023,15.782165,43.931423
209657000-0,1741.0,20.24575,132.209123,17.481975,267.685039
273215830-0,1758.0,20.033457,130.300612,20.363792,89.69783
246900000-0,1767.0,19.962544,129.630504,14.049594,81.505378
353080000-0,1782.0,20.248882,131.956357,15.734503,312.113072
273215830-0,1889.0,20.033521,130.313737,5.681399,38.434421
246900000-0,1920.0,19.964011,129.64096,36.435013,87.356803
353080000-0,1929.0,20.256051,131.947903,34.51258,280.388172
209657000-0,1955.0,20.245051,132.190706,13.074464,299.607713
636016655-0,1957.0,20.599281,131.896773,15.90743,245.76009
209657000-0,2009.0,20.246663,132.187681,7.143329,250.333041
246900000-0,2010.0,19.96471,129.65707,13.292372,55.821994
636016655-0,2138.0,20.593816,131.883808,17.225431,228.537386
246900000-0,2147.0,19.969438,129.664479,22.685279,88.266255
273215830-0,2168.0,20.039261,130.318585,21.276698,138.834492
538006053-0,2170.0,20.25918,131.690375,15.083074,295.621473
311995000-0,2199.0,20.262398,132.400714,44.514722,266.655227
353080000-0,2245.0,20.265134,131.895044,24.848512,307.012706
636016655-0,2256.0,20.587595,131.876287,10.02161,123.829427
636016655-0,2310.0,20.586202,131.878507,14.848515,249.609891
246900000-0,2337.0,19.97004,129.685668,19.352196,83.859939
311995000-0,2344.0,20.260654,132.368964,19.764762,218.22494
273215830-0,2349.0,20.025859,130.331057,24.309876,39.546679
636016655-0,2356.0,20.585102,131.875345,17.292541,239.10404
209657000-0,2361.0,20.242751,132.176016,24.712315,346.436828
538006053-0,2370.0,20.26521,131.676973,27.15475,246.765789
273215830-0,2419.0,20.031924,130.336388,18.754429,72.481173
209657000-0,2442.0,20.251746,132.173703,17.313795,247.055823
353080000-0,2460.0,20.279999,131.874022,19.732425,258.250624
311995000-0,2472.0,20.251467,132.361251,66.136829,268.415706
311995000-0,2527.0,20.251001,132.343336,17.195864,244.455846
