MMSI,time,lat,lon,vel,cou
231791000-1,0.0,20.006883,130.002301,27.156993,109.862768
247302900-0,11.0,20.461587,131.201985,16.325793,18.048621
230631000-1,18.0,20.171272,130.54432,36.268071,63.389427
564435000-0,23.0,19.999157,130.401459,27.361289,243.962162
636016275-1,26.0,19.654128,129.170392,25.116687,67.923872
277339000-0,39.0,20.356739,129.13508,12.977158,274.093421
636016275-1,67.0,19.655917,129.175076,30.866321,76.549808
255805993-0,80.0,19.937854,129.814331,15.454044,68.63525
248562000-1,83.0,20.261005,130.901062,28.192555,69.327025
230631000-1,84.0,20.176228,130.55486,34.438053,66.520062
259372000-2,110.0,19.913742,129.800497,15.402907,54.457927
231791000-1,114.0,20.00202,130.016625,22.262866,57.155711
209992000-0,136.0,20.072296,130.799047,41.166101,191.111044
311058100-2,144.0,20.206937,130.104071,57.946925,145.035986
564435000-0,145.0,19.992383,130.386706,12.993714,331.768921
230352000-2,153.0,19.741284,129.256912,20.054992,88.936166
259372000-2,166.0,19.91606,129.803948,10.799884,109.887705
230987000-1,171.0,19.441066,128.630323,31.059901,58.705293
230631000-1,184.0,20.18257,130.570416,20.150407,63.650537
564435000-0,201.0,19.995346,130.385013,49.676315,249.525004
247302900-0,204.0,20.475435,131.206802,23.35334,51.701456
311058100-2,213.0,20.19179,130.115356,49.188918,116.634464
209992000-0,250.0,20.051009,130.794597,25.785817,265.484487
564435000-0,260.0,19.990607,130.371507,13.592149,258.365009
277339000-0,265.0,20.357706,129.120657,19.300542,299.967268
230352000-2,267.0,19.74148,129.268138,20.920758,64.781208
311058100-2,267.0,20.186285,130.12705,23.57561,73.572976
636016275-1,288.0,19.663248,129.207642,8.973393,315.477258
259372000-2,293.0,19.913903,129.810289,24.55508,91.253778
231791000-1,299.0,20.012345,130.033648,13.662336,74.641464
230631000-1,309.0,20.187737,130.581532,27.810166,86.053305
248562000-1,328.0,20.272274,130.932907,26.649236,63.961191
636016275-1,342.0,19.664845,129.205975,19.559344,69.005131
247302900-0,350.0,20.485203,131.220006,30.197592,304.068079
209992000-0,378.0,20.049807,130.778406,26.234593,309.516955
230631000-1,383.0,20.188392,130.591644,54.926507,81.202276
248562000-1,387.0,20.275464,130.939868,22.929221,70.143872
277339000-0,388.0,20.363187,129.110516,15.774632,283.254553
311058100-2,398.0,20.190322,130.14164,22.645211,50.296946
247302900-0,413.0,20.490129,131.212229,17.081073,14.29372
259372000-2,426.0,19.913572,129.826341,26.759764,7.203712
230631000-1,436.0,20.190449,130.605813,28.225437,84.172265
255805993-0,443.0,19.947299,129.840021,17.958966,53.900403
311058100-2,459.0,20.194401,130.146874,76.882492,150.128721
247302900-0,470.0,20.49449,131.213415,13.178909,41.989201
230987000-1,487.0,19.464628,128.671442,35.284311,41.164204
259372000-2,492.0,19.921671,129.82743,41.238986,124.876517
230631000-1,502.0,20.191323,130.61494,36.015423,73.550324
277339000-0,519.0,20.365377,129.100599,4.98685,161.704652
311058100-2,520.0,20.175602,130.158377,22.45114,94.300624
247302900-0,532.0,20.497297,131.216113,39.197702,66.875493
259372000-2,545.0,19.915894,129.836246,27.828985,357.767583
255805993-0,554.0,19.952728,129.847942,18.261412,93.908555
245392000-1,557.0,19.767821,129.28608,5.780581,242.000802
247302900-0,596.0,20.501851,131.227499,28.549079,304.965451
230352000-2,609.0,19.755569,129.299931,25.777259,50.776022
259372000-2,611.0,19.924378,129.835894,37.398274,76.969248
230631000-1,622.0,20.196979,130.635356,31.290988,329.677199
564435000-0,626.0,19.985967,130.34754,59.559114,264.171991
230987000-1,630.0,19.482186,128.687726,26.321064,125.323775
248562000-1,639.0,20.284534,130.966651,34.114084,86.402924
259372000-2,650.0,19.925898,129.842881,11.722947,35.810302
247302900-0,667.0,20.507221,131.219301,27.70851,59.69822
209992000-0,679.0,20.073031,130.748426,75.746209,168.982186
564435000-0,681.0,19.984429,130.331511,19.12193,299.382817
230631000-1,682.0,20.204471,130.630687,67.223368,95.409739
230987000-1,696.0,19.477543,128.694676,38.256733,66.912963
245392000-1,711.0,19.76589,129.282219,28.193125,79.308905
259372000-2,721.0,19.929018,129.845276,13.432686,207.023255
277339000-0,723.0,20.360912,129.102173,42.375693,296.581944
255805993-0,727.0,19.951732,129.863442,12.466588,102.82026
231791000-1,728.0,20.019518,130.061454,25.274756,74.333164
230631000-1,740.0,20.20277,130.649806,17.507494,303.45933
311058100-2,750.0,20.17381,130.183735,33.565721,63.390476
230987000-1,750.0,19.481287,128.703994,30.187156,50.101367
248562000-1,750.0,20.285632,130.985276,27.175805,63.667659
209992000-0,751.0,20.048286,130.753555,80.316314,335.49489
230352000-2,756.0,19.766644,129.31435,16.17456,109.160825
564435000-0,762.0,19.987942,130.324873,44.738274,259.912845
259372000-2,764.0,19.926639,129.843985,28.494705,90.739603
636016275-1,765.0,19.678544,129.243895,21.065439,65.055264
255805993-0,782.0,19.951028,129.86673,24.614346,29.88107
230631000-1,792.0,20.205091,130.646065,36.5386,76.107454
209992000-0,800.0,20.064839,130.745522,31.350051,209.463445
564435000-0,811.0,19.986167,130.314257,5.90499,226.738098
636016275-1,817.0,19.680679,129.248771,16.693613,249.011402
