mmsi,time,lat,lon,vel,cou,batch
231791000-1,114.0,20.00202,130.016625,22.262866,57.155711,0
231791000-1,299.0,20.012345,130.033648,13.662336,74.641464,0
231791000-1,851.0,20.023398,130.07618,18.533804,56.426096,0
231791000-1,1071.0,20.033821,130.092895,20.030334,85.165392,0
231791000-1,1329.0,20.037689,130.117591,24.107652,75.246216,0
231791000-1,1393.0,20.039505,130.124932,21.36154,27.084281,0
231791000-1,1504.0,20.041792,130.130739,20.5895,74.221249,0
231791000-1,1764.0,20.048519,130.156088,17.630126,8.265517,0
231791000-1,1937.0,20.052666,130.17248,8.801688,45.829301,0
231791000-1,2567.0,20.070601,130.224736,8.744206,54.653875,0
231791000-1,2832.0,20.082986,130.243825,19.724923,98.145226,0
231791000-1,2884.0,20.082314,130.248822,5.520945,163.726457,0
231791000-1,3128.0,20.076337,130.25068,38.04183,62.93597,0
231791000-1,3284.0,20.088816,130.276691,15.987047,100.143245,0
231791000-1,3387.0,20.092306,130.288868,6.895623,76.056544,0
231791000-1,3469.0,20.092936,130.291569,15.786035,70.282681,0
231791000-1,3590.0,20.095914,130.300419,21.889165,61.255087,0
231791000-1,3723.0,20.102386,130.312984,22.175267,115.916863,0
231791000-1,3787.0,20.099518,130.319267,26.550018,74.50325,0
231791000-1,4258.0,20.11387,130.362711,17.213847,76.404875,0
231791000-1,4446.0,20.117385,130.378196,14.991067,67.910929,0
231791000-1,4640.0,20.12244,130.391463,24.85881,53.660065,0
231791000-1,5298.0,20.138773,130.451237,20.909272,48.743339,0
231791000-1,5478.0,20.143579,130.46099,26.228832,50.665936,0
231791000-1,5533.0,20.147806,130.466484,15.496553,81.350165,0
231791000-1,5846.0,20.151836,130.49609,18.274337,70.639149,0
231791000-1,6027.0,20.156904,130.511456,17.196674,69.401417,0
231791000-1,6671.0,20.172455,130.56616,21.534468,70.374594,0
231791000-1,6731.0,20.174461,130.572153,17.6916,71.334428,0
231791000-1,6847.0,20.182611,130.58154,7.53994,137.959817,0
231791000-1,7028.0,20.180829,130.593541,39.743931,63.428041,0
247302900-0,350.0,20.485203,131.220006,30.197592,304.068079,1
247302900-0,470.0,20.49449,131.213415,13.178909,41.989201,1
247302900-0,596.0,20.501851,131.227499,28.549079,304.965451,1
247302900-0,667.0,20.507221,131.219301,27.70851,59.69822,1
230631000-1,18.0,20.171272,130.54432,36.268071,63.389427,2
