mmsi,time,lat,lon,vel,cou,batch
251312000-3,247.96074689826648,19.983154083868406,130.9411828648789,62.511704846193844,221.96382801896266,0
251312000-3,319.2330591053225,19.955117668471477,130.95552227034955,55.250042987518775,359.50292718208925,0
251312000-3,398.0309655650128,19.97764492219105,130.95781794668108,52.42391218294586,163.05927904608964,0
251312000-3,549.2003493809735,19.963438551780882,130.95102208852913,66.09432041970533,7.598784965300316,0
251312000-3,842.0162953565631,19.9577311483606,130.95310279111135,15.069442316426736,11.468704172808216,0
251312000-3,924.0165872454497,19.962964766443513,130.92339837044366,58.07281880705539,199.39254684371085,0
251312000-3,1157.2431338106558,19.97691868283177,130.92874715698463,36.430190744265396,60.501554175450316,0
251312000-3,1247.1074836884345,19.972046897019542,130.95877875464785,34.259482674385595,230.49553047989244,0
251312000-3,1382.9733179447098,19.957759578556303,130.91287948042066,39.96584322808044,290.45110596087585,0
251312000-3,1514.716505749055,19.981811276050756,130.89966643035902,45.58637963310748,243.292653208964,0
251312000-3,1747.8764401792234,19.953420109106467,130.94058115579787,26.879250001449353,17.42689752607741,0
251107000-1,259.81024533308005,20.127786334694747,131.07832091435313,10.97340014291639,140.51511759068802,1
251107000-1,354.7999082669677,20.12699577366428,131.0795711449435,13.26096812200266,24.667509045858793,1
251107000-1,505.0497057901636,20.18004687559287,131.05081604884825,16.816866098822207,37.698231245144925,1
251107000-1,761.6444525786548,20.177628789102844,131.06160030101887,14.437711498788056,147.95013882967177,1
251107000-1,851.1910679668891,20.17216903860979,131.05040838218014,43.256650998839035,7.535333804813735,1
251107000-1,910.12526044248,20.139300845213214,131.08973607114746,36.555438694472386,166.87168475596974,1
251107000-1,1120.0719108585063,20.17514905579858,131.0937192242733,6.600931123697052,114.23131607891516,1
251107000-1,1208.896244062052,20.181405175885846,131.07292213874354,16.04456957645517,41.65335173200347,1
251107000-1,1416.1025982651881,20.207048391198747,131.07565837273887,17.205790467794138,170.06494870090478,1
251107000-1,1540.733956620274,20.118199595586578,131.0745554774902,11.665388230628182,193.35930414429384,1
251107000-1,1790.1504311093386,20.164428267768763,131.10962507195376,11.521479264103446,248.268194989528,1
251017000-1,25.743832998497044,20.053822245124,131.0397682489702,1.994634843222733,2.3254160770635366,2
251017000-1,172.0520831114331,20.055911421162573,131.01747507267334,1.6600482817917914,350.9715868102814,2
251017000-1,413.8538558860527,20.073090631875832,131.04409886057653,1.886074765926977,348.64876858246566,2
251017000-1,558.7049645445553,20.02347248106998,131.03381119984437,1.9537767521609848,348.7775670794298,2
251017000-1,631.0303467167761,20.05762729552222,131.0600663445599,1.8995041464216493,354.45566215301403,2
251017000-1,862.0873591438062,20.04104524009672,131.0422542544909,1.9139605293390207,351.27720860138277,2
251017000-1,943.0356712047158,20.05449527537153,131.02496808683654,1.8694200038140893,359.4641231210347,2
251017000-1,1014.8983403566824,20.089285295309132,131.0701049873071,1.883080329395142,345.3633911591052,2
251017000-1,1223.835517064833,20.04628593081205,131.03309313381095,1.8607002111569335,8.99877640177553,2
251017000-1,1296.9763117485472,20.051081185337065,131.0506286243746,1.9191431558758953,13.279892356326588,2
251017000-1,1377.1370682441866,20.071696058113016,131.0391767381077,1.8884611924575747,2.186326769301721,2
251017000-1,1449.8916342030343,20.059478929449583,131.06940590384139,1.9331826674024282,348.1927771402549,2
251017000-1,1591.9492848579616,20.082612114561737,131.05667072661876,1.8485883953391853,6.753926466889666,2
251017000-1,1742.2572473494427,20.08335339264149,131.02332940539074,1.8402006800850568,6.114274186823628,2
251017000-1,1817.6902330727537,20.06495018655059,131.02235519162133,1.8477119603641778,13.42864165804194,2
251102000-1,173.0138697303523,19.93040086520986,130.83754328682306,11.793965978735176,268.5474008684099,3
251102000-1,484.12044226025034,19.903025495080033,130.89386018542083,12.730666926841783,296.4775158315027,3
251102000-1,560.8044189970786,19.936227920219718,130.8136160456696,5.846944144314879,151.64429977977517,3
251102000-1,624.1486295960449,19.906859141139396,130.8197926090133,19.158949207467696,226.0355943602373,3
251102000-1,765.6782917897028,19.894368712009452,130.8071655315494,10.77832322047869,134.45123117787347,3
251102000-1,963.8715350370878,19.938113778855488,130.81380764344152,26.65503884898389,244.83660001531223,3
251102000-1,1046.9987969091487,19.922618319189535,130.85045817166124,3.9610431457101773,9.859082473121958,3
251102000-1,1352.853738979033,19.90790398776908,130.79659343841436,16.9285380530572,121.47313238187455,3
251102000-1,1408.8987250187527,19.930008465165013,130.8124661752638,20.32154458989557,325.09669156970494,3
251102000-1,1495.4943966781323,19.886326306585687,130.8317099097216,16.83344749742586,206.0033027132846,3
251102000-1,1560.070145597242,19.9297982436265,130.81373410136152,13.854394510813977,148.44940641244057,3
251102000-1,1645.2141819798974,19.9122656687962,130.81064518244222,2.709239146151226,195.18185135170458,3
251102000-1,1795.8970627912827,19.836523471907658,130.80849769677965,5.898956963851066,222.93190166295307,3
251102000-1,2065.860911433603,19.883129866998733,130.79817628511697,5.904252979026834,231.7294140082858,3
251177110-1,62.25188286158392,20.00598964834562,131.1211621249873,36.546198894472866,109.53703353079237,4
251177110-1,131.7172795023422,20.00593216748618,131.12435857575437,19.51820988928783,185.52551028481497,4
251177110-1,198.22795736317244,20.030368659824678,131.11547736159798,4.71411261698464,221.193927340002,4
251177110-1,352.18273973185865,19.987160386819614,131.09640197719614,21.40011313573064,194.07480691862511,4
251177110-1,426.90309056153586,19.990431762832962,131.08128055145832,14.998313471149444,288.2289280971046,4
251177110-1,507.0577850025593,20.008350533634857,131.11306999209663,19.548849521012947,179.68567493974774,4
251177110-1,946.7960982389236,19.967817220288765,131.09242531540087,34.599253547886164,78.79179761469817,4
251177110-1,1102.6980240391354,19.997961640979398,131.09401259863105,56.66395107065928,224.86218518914197,4
251177110-1,1165.0544781924402,20.00897478343869,131.0738577720606,23.27070439485579,286.5120646005374,4
251177110-1,1246.0505298508638,20.00131456966852,131.0685124475079,9.528665819815874,92.05201755479895,4
251177110-1,1339.2644148912655,20.035641086623873,131.1304758751674,19.145588849881385,237.82899996136192,4
251177110-1,1559.6863908875123,19.97505391159623,131.03428496857921,4.749585572231316,235.05297594633873,4
251177110-1,1624.9683538271254,19.986601157477754,131.10214248231762,12.086270089954684,61.97419101526565,4
251177110-1,1704.93701183103,20.011899282914943,131.09806378835626,30.83517093384974,331.9145902264119,4
251063000-2,250.8131056190823,20.10058220859747,130.89733687415432,11.704827985110018,179.09682000376975,5
251063000-2,357.0775771647495,20.070599051449996,130.913130069581,10.059740830036924,71.8236616744266,5
251063000-2,485.1659176926644,20.047343315447577,130.92334955230868,7.3176170975379025,109.17704454649727,5
251063000-2,607.0064896997169,20.07914141149291,130.93881281030778,15.960547068154726,328.64940484339496,5
251063000-2,982.9111136012785,20.119302948963366,130.89174917451885,1.5860470729652465,28.375367642456652,5
251063000-2,1238.189037784523,20.097029141538084,130.90683831135007,2.051169444798305,14.397032266015827,5
251063000-2,1747.5834237440222,20.12748190532134,130.92338341850467,6.399474448731221,39.55353061560359,5
251312000-4,3320.022309411872,19.969691629382,130.91231158934968,30.527511705783898,169.83447458584527,6
251312000-4,3392.2709323770214,19.943868580260645,130.8750258783881,54.425076145813804,281.4908710512457,6
251312000-4,3633.1078192603213,19.938725698910392,130.880042577929,21.481334592217447,105.73748639838705,6
251312000-4,3712.9484986793373,19.892865649959827,130.92199822248116,30.390302694618594,296.37662958722575,6
251312000-4,3774.1449107422127,19.94113183744288,130.84553328602735,22.234737698829438,210.62511431297597,6
251312000-4,3860.0081267868827,19.94516518882839,130.8986464306073,2.4476173207575376,60.22411266482423,6
251312000-4,4281.824672102714,19.96103010285368,130.88273742467442,62.87170321792916,297.35758849292336,6
251312000-4,4420.334849388407,19.88214263152478,130.8499164828781,55.76755006770958,10.72328900396362,6
251312000-4,4492.85342037971,19.94404436501682,130.88405968968837,18.795140048818734,318.1181137288755,6
251312000-4,4663.219514042963,19.917710673115824,130.86818054709502,39.27785650918356,302.78796847394125,6
251312000-4,4734.059349194568,19.909038927660617,130.88676888048647,100.59883849382635,103.33973530579756,6
251312000-4,4810.011004328793,19.93647251924738,130.89554850823689,114.21159283109593,304.86284121967384,6
251312000-4,4878.756660254082,19.903934751037053,130.8878180227731,3.8672983512225096,89.21345617079471,6
251312000-4,4960.094247295371,19.95948795307162,130.87753990891426,61.11980212752795,188.43855298610882,6
251312000-4,5566.69597219728,19.90050969745806,130.83957373705957,56.81936805535573,213.96503650424518,6
251312000-4,5634.126354458502,19.877366434915885,130.8538316133389,44.556347189876114,23.288811109948693,6
251312000-4,5708.3644695852845,19.889425066681213,130.84727583438124,48.68426105827524,179.24687631030633,6
251312000-4,5778.299191932986,19.907919222834785,130.81874176199995,70.23349313996103,345.7445617403909,6
251312000-4,5848.995488438233,19.90971049210957,130.8572005764356,49.61019343543835,163.75055842298903,6
251312000-4,6032.255734941037,19.898065133131624,130.80486893642131,16.461101131884412,159.83496333918345,6
251312000-4,6308.15735306712,19.913856703372662,130.85211105165658,45.19740637832001,309.82672450309485,6
251312000-4,6658.089055210569,19.89497988779766,130.82057646218632,4.955226893518269,15.217853778150994,6
251312000-4,6918.367015317132,19.880072657511594,130.82754120590894,4.979868866809564,23.356045337665446,6
251107000-2,4614.009853178179,20.08889377599491,130.97595627966535,13.506041311471867,247.36941014331347,7
251107000-2,4688.201925359551,20.094364630461225,130.99087480619016,21.073206098348166,272.95588612576404,7
251107000-2,4826.021011019036,20.13560749395095,130.98668428891963,9.98015023386423,181.57232506180048,7
251107000-2,4966.965292878127,20.085350947889722,130.98734416834256,11.803925155998394,130.23004434392126,7
251107000-2,5141.5504532679,20.11599714962307,130.98513685842383,11.699638042909186,54.9376456780525,7
251107000-2,5210.821951087047,20.106952008527177,131.01423514781695,19.681448234114786,183.38124468072846,7
251107000-2,5300.6610169739215,20.10205738799069,131.032201028493,28.763132077970777,298.35281391513996,7
251107000-2,5378.032555213666,20.11444435399409,131.0216725494313,19.129260513343397,231.85963637846845,7
251107000-2,5727.077121240856,20.120025606160546,131.00201178907847,3.2336594221569555,24.732351016618967,7
251107000-2,5880.268197551097,20.09594296403927,130.99610437335434,17.866451073445376,160.90641770210027,7
251107000-2,6483.7030530745615,20.10794812302636,130.98015936181747,23.249605621969017,183.70265044161854,7
251107000-2,6564.300163928142,20.041289047331777,130.96178460814662,5.213861591319083,253.3409120542738,7
251107000-2,6626.161025726512,20.08275843935524,131.02354325860688,18.55246529836938,269.3862482265435,7
251107000-2,6691.647119068689,20.07786501788394,130.93866183250188,7.326969617507221,257.3077678331152,7
